file_path,mean,std,shape
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/red.data.tif,[-6192.2],[4855.7944],"(1536, 2163, 1)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/green.data.tif,[-6192.195],[4855.8027],"(1536, 2163, 1)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/nir.rgb.tif,[8.85174318e+01 7.04023335e+01 1.49622197e-02 9.41482364e+01],[117.35926198  99.44560587   1.26506566 122.75081409],"(1536, 2163, 4)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/NDVI.data.tif,[-6191.9385],[4856.1284],"(1536, 2163, 1)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/green.rgb.tif,[9.29895695e+01 6.92137081e+01 1.49622197e-02 9.66240115e+01],[119.89019153  96.39655781   1.26506566 123.57594417],"(1536, 2163, 4)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/rededge.data.tif,[-6192.164],[4855.8447],"(1536, 2163, 1)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/nir.data.tif,[-6192.1606],[4855.848],"(1536, 2163, 1)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/rededge.rgb.tif,[8.95564016e+01 7.30452770e+01 1.49622197e-02 9.53387788e+01],[117.63185064 100.90117069   1.26506566 123.13785403],"(1536, 2163, 4)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/NDVI.rgb.tif,[6.52406371e+01 9.04840743e+01 1.49622197e-02 9.28179931e+01],[ 92.90689208 119.88065583   1.26506566 122.36890665],"(1536, 2163, 4)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Aerial_UAV_photos/red.rgb.tif,[9.23630332e+01 6.76421486e+01 1.49622197e-02 9.63015981e+01],[119.6198557   95.71530149   1.26506566 123.47678953],"(1536, 2163, 4)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-7.jpg,[ 92.29389914 110.69603719 123.5431523 ],[86.70872844 63.55837365 65.8849276 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/8-13.jpg,[ 75.27833475 113.99724033 128.89226482],[77.89245882 69.42584893 67.9168689 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/6-16.jpg,[ 90.14965306 119.80107856 129.8983741 ],[84.41890747 69.55024936 67.12938502],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-51.jpg,[ 66.02070276 115.54486725 121.74072368],[70.43181202 69.69860793 70.92371807],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/10-45.jpg,[ 58.34963833 110.40940589 125.83198089],[69.75673007 66.85352728 66.64317786],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/1-8.jpg,[ 71.04706921 114.83592019 132.08148494],[71.38449159 67.78819548 67.8617475 ],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/5-53.jpg,[ 87.89866288 113.25040819 121.76250545],[79.95781204 68.99839606 67.85730129],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-1.jpg,[ 84.33205315 120.28286309 126.87339626],[76.2528034  74.86911599 76.60256389],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-42.jpg,[ 69.30952578 113.19193009 124.98724637],[70.81024674 70.04684641 70.84926575],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/7-56.jpg,[ 62.08760242 104.18507963 112.63363266],[60.13941487 67.33910457 69.69330236],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-11.jpg,[ 85.92587335 113.16601825 113.86687625],[86.5715443  69.28392426 66.06844952],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/11-39.jpg,[ 85.753984   114.22021078 121.9243185 ],[82.27340569 70.00517023 66.77386537],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-53.jpg,[ 76.34414482 113.93068949 121.67847408],[77.25965962 73.04187293 71.25677714],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-47.jpg,[ 77.87066702 114.5908564  122.47443386],[78.93370492 68.24001088 65.09398584],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-32.jpg,[ 84.18036093 111.32064557 123.33047172],[80.26379585 70.28206349 67.80238327],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-13.jpg,[ 91.29766662 114.70219396 116.53389698],[85.8784376  69.37323025 65.09249573],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/4-12.jpg,[ 87.74219144 121.06541812 127.1602942 ],[83.21008662 68.81499621 66.73101582],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/3-33.jpg,[ 95.64648864 118.32735725 124.92181923],[84.5634595  69.27255986 66.63776846],"(4032, 3024, 3)"
/Users/izzymohamed/Desktop/Vision For Social Good/DATA/Cherry/03_11_2021/Ground_RGB_Photos/Healthy/9-46.jpg,[ 85.27157722 114.81192154 122.77579849],[80.46769888 69.90158874 67.85970167],"(4032, 3024, 3)"
