Model,Precision,Recall,F1-score
InceptionV3_intermediate_small,0.625,0.6444444444444445,0.6344086021505376
ResNet152_intermediate_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
VGG19_intermediate_small,0.6111111111111112,0.6444444444444445,0.6248693834900731
ViT_intermediate_small,0.6052287581699346,0.6444444444444445,0.6236111111111111
AttentionAugmentedInceptionV3_intermediate_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
AttentionAugmentedResNet18_intermediate_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
InceptionV3_intermediate_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
ResNet152_intermediate_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
VGG19_intermediate_medium,0.5830065359477125,0.6222222222222222,0.6013888888888889
ViT_intermediate_medium,0.6052287581699346,0.6444444444444445,0.6236111111111111
AttentionAugmentedInceptionV3_intermediate_medium,0.625,0.6666666666666666,0.6451612903225806
AttentionAugmentedResNet18_intermediate_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
InceptionV3_intermediate_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
ResNet152_intermediate_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
VGG19_intermediate_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
ViT_intermediate_conv_small,0.6111111111111112,0.6444444444444445,0.6248693834900731
AttentionAugmentedInceptionV3_intermediate_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
AttentionAugmentedResNet18_intermediate_conv_small,0.5902777777777778,0.5555555555555555,0.5694942254082039
InceptionV3_intermediate_conv_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
ResNet152_intermediate_conv_medium,0.625,0.6444444444444445,0.6344086021505376
VGG19_intermediate_conv_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
ViT_intermediate_conv_medium,0.6236111111111111,0.6444444444444445,0.6336917562724015
AttentionAugmentedInceptionV3_intermediate_conv_medium,0.625,0.6444444444444445,0.6344086021505376
AttentionAugmentedResNet18_intermediate_conv_medium,0.5830065359477125,0.6222222222222222,0.6013888888888889
InceptionV3_late_small,0.6222222222222222,0.6222222222222222,0.6222222222222222
ResNet152_late_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
VGG19_late_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
ViT_late_small,0.5833333333333334,0.6222222222222222,0.6021505376344086
AttentionAugmentedInceptionV3_late_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
AttentionAugmentedResNet18_late_small,0.625,0.6444444444444445,0.6344086021505376
InceptionV3_late_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
ResNet152_late_medium,0.625,0.6666666666666666,0.6451612903225806
VGG19_late_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
ViT_late_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
AttentionAugmentedInceptionV3_late_medium,0.5505050505050505,0.5333333333333333,0.5337995337995337
AttentionAugmentedResNet18_late_medium,0.6052287581699346,0.6444444444444445,0.6236111111111111
InceptionV3_late_conv_small,0.6190476190476191,0.6,0.6091954022988505
ResNet152_late_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
VGG19_late_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
ViT_late_conv_small,0.6052287581699346,0.6444444444444445,0.6236111111111111
AttentionAugmentedInceptionV3_late_conv_small,0.6190476190476191,0.6,0.6091954022988505
AttentionAugmentedResNet18_late_conv_small,0.6274509803921569,0.6666666666666666,0.6458333333333334
InceptionV3_late_conv_medium,0.6190476190476191,0.6,0.6091954022988505
ResNet152_late_conv_medium,0.6220238095238095,0.6222222222222222,0.621431219873934
VGG19_late_conv_medium,0.15625,0.3333333333333333,0.2127659574468085
ViT_late_conv_medium,0.8111111111111112,0.8111111111111112,0.8111111111111112
AttentionAugmentedInceptionV3_late_conv_medium,0.5873015873015873,0.6222222222222222,0.6018808777429467
AttentionAugmentedResNet18_late_conv_medium,0.6274509803921569,0.6666666666666666,0.6458333333333334
