Tree_ID,class,shape,x1,x2,y1,y2,label
29-1,0,rectangle,1879,1934,10,71,
29-2,0,rectangle,1943,2024,6,80,
29-4,0,rectangle,2086,2169,22,100,
29-3,0,rectangle,2030,2081,25,88,
28-10,0,rectangle,2104,2169,125,188,
28-9,0,rectangle,2024,2090,106,178,
28-8,0,rectangle,1955,2020,88,170,
28-7,0,rectangle,1869,1940,90,161,
28-6,0,rectangle,1802,1867,80,155,
28-5,0,rectangle,1736,1795,82,153,
28-4,0,rectangle,1665,1730,61,137,
28-3,0,rectangle,1569,1665,49,141,
27-13,0,rectangle,2116,2192,196,276,
27-12,0,rectangle,2032,2106,200,272,
27-11,0,rectangle,1963,2026,188,263,
27-10,0,rectangle,1900,1959,184,266,
27-9,0,rectangle,1824,1891,163,245,
27-8,0,rectangle,1742,1822,163,245,
27-7,0,rectangle,1675,1736,155,237,
27-6,0,rectangle,1603,1673,147,233,
27-5,0,rectangle,1520,1593,139,214,
27-4,0,rectangle,1450,1516,118,204,
27-3,0,rectangle,1379,1444,112,194,
27-2,0,rectangle,1307,1377,102,180,
27-1,0,rectangle,1238,1301,127,182,
26-19,0,rectangle,2116,2192,292,376,
26-18,0,rectangle,2043,2102,290,366,
26-17,0,rectangle,1975,2034,276,355,
26-1,0,rectangle,795,876,152,226,
26-2,0,rectangle,885,939,160,228,
26-3,0,rectangle,946,1005,169,238,
26-4,0,rectangle,1019,1091,169,244,
26-5,0,rectangle,1101,1164,171,258,
26-6,0,rectangle,1170,1230,182,265,
26-7,0,rectangle,1237,1309,190,270,
26-8,0,rectangle,1314,1368,212,284,
26-9,0,rectangle,1384,1453,212,284,
26-10,0,rectangle,1464,1523,210,290,
26-11,0,rectangle,1534,1587,238,306,
26-12,0,rectangle,1595,1659,244,310,
26-13,0,rectangle,1672,1744,247,321,
26-14,0,rectangle,1754,1818,260,332,
26-15,0,rectangle,1831,1885,264,343,
26-16,0,rectangle,1896,1968,279,351,
25-1,0,rectangle,521,586,214,290,
25-2,0,rectangle,597,659,203,294,
25-3,0,rectangle,673,739,209,296,
25-4,0,rectangle,753,815,225,307,
25-5,0,rectangle,824,882,241,319,
25-6,0,rectangle,893,953,249,325,
25-7,0,rectangle,967,1018,265,334,
25-8,0,rectangle,1031,1100,265,343,
25-9,0,rectangle,1107,1169,270,347,
25-10,0,rectangle,1178,1236,276,347,
25-11,0,rectangle,1245,1312,276,361,
25-12,0,rectangle,1319,1385,292,376,
25-13,0,rectangle,1392,1450,301,388,
25-14,0,rectangle,1470,1535,316,392,
25-15,0,rectangle,1537,1601,321,405,
25-16,0,rectangle,1608,1670,327,412,
25-17,0,rectangle,1679,1744,336,421,
25-18,0,rectangle,1751,1822,343,425,
25-19,0,rectangle,1833,1895,352,434,
25-20,0,rectangle,1902,1962,363,448,
25-21,0,rectangle,1971,2038,376,454,
25-22,0,rectangle,2047,2105,383,452,
25-23,0,rectangle,2116,2178,390,463,
25-24,0,rectangle,2192,2254,390,468,
24-28,0,rectangle,2205,2267,486,561,
24-27,0,rectangle,2120,2192,468,550,
24-26,0,rectangle,2060,2114,474,541,
24-25,0,rectangle,1987,2051,461,543,
24-24,0,rectangle,1911,1976,461,523,
24-23,0,rectangle,1838,1904,439,521,
24-22,0,rectangle,1760,1824,437,508,
24-1,0,rectangle,229,316,249,336,
24-1,0,rectangle,316,379,270,345,
24-3,0,rectangle,394,457,276,363,
24-4,0,rectangle,463,526,287,368,
24-5,0,rectangle,532,595,296,379,
24-6,0,rectangle,601,657,301,383,
24-7,0,rectangle,670,746,307,392,
24-8,0,rectangle,755,811,323,403,
24-9,0,rectangle,822,880,327,412,
24-10,0,rectangle,889,960,339,421,
24-11,0,rectangle,973,1038,343,425,
24-12,0,rectangle,1042,1111,350,439,
24-13,0,rectangle,1118,1172,356,441,
24-14,0,rectangle,1180,1234,365,445,
24-15,0,rectangle,1247,1314,363,461,
24-16,0,rectangle,1327,1385,381,461,
24-17,0,rectangle,1397,1454,394,474,
24-18,0,rectangle,1463,1537,396,486,
24-19,0,rectangle,1541,1615,412,499,
24-20,0,rectangle,1624,1677,421,506,
24-21,0,rectangle,1684,1748,425,510,
23-2,0,rectangle,103,171,322,409,
23-3,0,rectangle,176,233,336,420,
23-4,0,rectangle,241,310,348,429,
23-5,0,rectangle,322,382,355,427,
23-6,0,rectangle,391,456,371,447,
23-7,0,rectangle,465,525,375,453,
23-8,0,rectangle,536,603,395,462,
23-9,0,rectangle,614,681,398,467,
23-10,0,rectangle,690,748,418,478,
23-11,0,rectangle,759,820,418,485,
23-12,0,rectangle,827,891,438,494,
23-13,0,rectangle,902,965,440,503,
23-33,0,rectangle,2361,2424,601,670,
23-32,0,rectangle,2276,2343,594,657,
23-31,0,rectangle,2211,2272,587,655,
23-30,0,rectangle,2140,2200,579,646,
23-29,0,rectangle,2057,2131,561,641,
23-28,0,rectangle,1981,2053,554,630,
23-27,0,rectangle,1912,1975,536,614,
23-26,0,rectangle,1843,1903,543,614,
