Date,Tree_ID,Orchard_Mapping_Image,Aerial_UAV_Image,Ground_RGB_Image,Ground_RGB_Image_with_Bounding_Boxes,Ground_RGB_Image_Annotations,Multispectral_RGB_Image,Multispectral_REG_Image,Multispectral_RED_Image,Multispectral_NIR_Image,Multispectral_GRE_Image,Multispectral_RGB_Bounding_Box_Image,Multispectral_RGB_Bounding_Box_Annotation,Label,UAV_NDVI,UAV_EVI,UAV_NDRE,UAV_SAVI,UAV_GNDVI,UAV_RVI,UAV_TVI,x1,x2,y1,y2,Multispectral_NDVI,Multispectral_EVI,Multispectral_NDRE,Multispectral_SAVI,Multispectral_GNDVI,Multispectral_RVI,Multispectral_TVI,Multispectral_NDVI_Image,Multispectral_GNDVI_Image,Multispectral_NDRE_Image,Multispectral_SAVI_Image
04_11_21,29-1,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-1.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/IMG_700101_000413_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/IMG_700101_000412_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/IMG_700101_000412_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/IMG_700101_000412_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/IMG_700101_000412_0000_GRE.TIF,,,0,0.6966195,1.2906333,0.03353521,0.40406132,0.5157118,7.3392105,14.95189,1879.0,1934.0,130.0,191.0,0.38878409909119566,22577.943459253893,0.054946197235566055,0.5786143369801067,0.3088772519602767,798.8610302095069,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/ndvi_image_0.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/gndvi_image_0.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/ndre_image_0.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 1/savi_image_0.jpeg
04_11_21,29-2,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-2.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/IMG_700101_000519_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/IMG_700101_000519_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/IMG_700101_000519_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/IMG_700101_000519_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/IMG_700101_000519_0000_GRE.TIF,,,0,0.76368725,1.2812579,0.024762638,0.3498263,0.4890669,8.766442,12.17939,1943.0,2024.0,126.0,200.0,0.4444522163868989,17586.085040455484,0.09811005243648377,0.6615963321695809,0.42041028634825717,815.2034048483829,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/ndvi_image_1.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/gndvi_image_1.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/ndre_image_1.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 2/savi_image_1.jpeg
04_11_21,29-4,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-3.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/IMG_700101_000531_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/IMG_700101_000531_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/IMG_700101_000531_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/IMG_700101_000531_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/IMG_700101_000531_0000_GRE.TIF,,,0,0.7258202,1.1447,0.012186664,0.30621833,0.426945,7.6682806,10.503128,2086.0,2169.0,142.0,220.0,0.3935901596802853,15404.06991740291,0.08552689362834916,0.5858686705831555,0.42248426088936913,361.7287954056119,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/ndvi_image_2.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/gndvi_image_2.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/ndre_image_2.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 3/savi_image_2.jpeg
04_11_21,29-3,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-4.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/IMG_700101_000541_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/IMG_700101_000541_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/IMG_700101_000541_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/IMG_700101_000541_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/IMG_700101_000541_0000_GRE.TIF,,,0,0.7582252,1.1068349,0.014278324,0.30337015,0.4390805,8.07262,10.177527,2030.0,2081.0,145.0,208.0,0.4045126479951527,18357.275120732338,0.05955934610367235,0.6026467598466632,0.4147134034744723,442.7633713048004,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/ndvi_image_3.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/gndvi_image_3.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/ndre_image_3.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 4/savi_image_3.jpeg
04_11_21,28-10,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-5.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/IMG_700101_000552_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/IMG_700101_000552_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/IMG_700101_000552_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/IMG_700101_000552_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/IMG_700101_000552_0000_GRE.TIF,,,0,0.7926057,1.3735446,0.027152628,0.38537428,0.51890665,9.108823,13.513379,2104.0,2169.0,245.0,308.0,0.42256227498667875,17311.114602251637,0.07529317020183462,0.6289991438240121,0.41263360607576854,789.667605739568,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/ndvi_image_4.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/gndvi_image_4.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/ndre_image_4.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 5/savi_image_4.jpeg
04_11_21,28-9,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Anarsia lineatella/1-6.jpg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos_bounding_box/Anarsia lineatella/1-6.png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos_bounding_box/Anarsia lineatella/1-6.json,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_GRE.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos_bounding_box/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_RGB.png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos_bounding_box/Anarsia lineatella/1 - 6/IMG_700101_000602_0000_RGB.json,2,0.7770689,1.2981724,0.05007832,0.39928573,0.54733956,9.096632,14.016592,2024.0,2090.0,226.0,298.0,0.44820213867876657,18609.434018639997,0.018619814941417973,0.6675343272344033,0.4459685756971814,715.2866861624542,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/ndvi_image_5.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/gndvi_image_5.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/ndre_image_5.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Anarsia lineatella/1 - 6/savi_image_5.jpeg
04_11_21,28-8,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-7.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/IMG_700101_000613_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/IMG_700101_000613_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/IMG_700101_000613_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/IMG_700101_000613_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/IMG_700101_000613_0000_GRE.TIF,,,0,0.7677996,1.1901505,0.046911467,0.3811192,0.5443311,8.641273,13.025503,1955.0,2020.0,208.0,290.0,0.4157809349902355,17492.890086991203,0.06323409464266445,0.6194316987231453,0.4248447252594421,254.382372224132,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/ndvi_image_6.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/gndvi_image_6.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/ndre_image_6.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 7/savi_image_6.jpeg
04_11_21,28-7,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-8.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/IMG_700101_000623_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/IMG_700101_000623_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/IMG_700101_000623_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/IMG_700101_000623_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/IMG_700101_000623_0000_GRE.TIF,,,0,0.7819922,0.93538773,0.04772371,0.30539194,0.5040091,9.098401,9.937723,1869.0,1940.0,210.0,281.0,0.4233517511955421,19287.843256407963,0.04959779218179826,0.6306805103302817,0.4297626455264254,692.648026474279,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/ndvi_image_7.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/gndvi_image_7.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/ndre_image_7.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 8/savi_image_7.jpeg
04_11_21,28-6,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-9.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/IMG_700101_000635_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/IMG_700101_000635_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/IMG_700101_000635_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/IMG_700101_000635_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/IMG_700101_000635_0000_GRE.TIF,,,0,0.8218087,0.94153005,0.048563857,0.30471078,0.50647664,10.901399,9.780594,1802.0,1867.0,200.0,275.0,0.33279403285488024,15134.167180283594,0.042939596544433245,0.49547124706580603,0.2252752890864782,44.99307330532166,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/ndvi_image_8.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/gndvi_image_8.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/ndre_image_8.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 9/savi_image_8.jpeg
04_11_21,28-5,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Orchard_Mapping/Orchard Mapping from CSV (04_11_21).png,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Aerial_UAV_Photos/NDVI.rgb.tif,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_RGB_Photos/Healthy/1-10.jpg,,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/IMG_700101_000645_0000_RGB.JPG,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/IMG_700101_000645_0000_REG.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/IMG_700101_000645_0000_RED.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/IMG_700101_000645_0000_NIR.TIF,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/IMG_700101_000645_0000_GRE.TIF,,,0,0.8198003,1.0059335,0.044438727,0.32215792,0.518098,11.123718,10.406683,1736.0,1795.0,202.0,273.0,0.42290822784638465,18579.827518217666,0.06825262121996567,0.6295910156788044,0.34100650294934115,605.1211013259212,,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/ndvi_image_9.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/gndvi_image_9.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/ndre_image_9.jpeg,/Users/izzymohamed/Desktop/Vision For Social Good/Project/Vision-For-Social-Good/DATA/Peach/04_11_21/Ground_Multispectral_Photos/Healthy/1 - 10/savi_image_9.jpeg
